uf,valor_medio,num_registros,desvio_padrao,data_inicio,data_fim,coef_variacao,fator_regional_real,variacao_percentual
PB,1624.9,13,5.38,2024-09-01,2025-09-01,0.0033,0.7884,-21.16
MS,1711.12,13,54.43,2024-09-01,2025-09-01,0.0318,0.8303,-16.97
MA,1742.55,13,53.1,2024-09-01,2025-09-01,0.0305,0.8455,-15.45
AL,1867.95,13,28.04,2024-09-01,2025-09-01,0.015,0.9064,-9.36
SE,1942.97,13,46.78,2024-09-01,2025-09-01,0.0241,0.9428,-5.72
BA,2013.13,13,36.31,2024-09-01,2025-09-01,0.018,0.9768,-2.32
PE,2018.44,13,21.51,2024-09-01,2025-09-01,0.0107,0.9794,-2.06
CE,2027.69,13,85.65,2024-09-01,2025-09-01,0.0422,0.9839,-1.61
SP,2060.89,13,29.37,2024-09-01,2025-09-01,0.0143,1.0,0.0
PA,2153.54,13,44.85,2024-09-01,2025-09-01,0.0208,1.045,4.5
DF,2198.15,13,77.22,2024-09-01,2025-09-01,0.0351,1.0666,6.66
RO,2209.45,13,67.13,2024-09-01,2025-09-01,0.0304,1.0721,7.21
MG,2312.99,13,39.58,2024-09-01,2025-09-01,0.0171,1.1223,12.23
RJ,2318.38,13,36.31,2024-09-01,2025-09-01,0.0157,1.1249,12.49
PR,2469.11,13,47.43,2024-09-01,2025-09-01,0.0192,1.1981,19.81
GO,2547.64,13,77.67,2024-09-01,2025-09-01,0.0305,1.2362,23.62
RS,2625.82,13,43.25,2024-09-01,2025-09-01,0.0165,1.2741,27.41
ES,2650.57,13,90.39,2024-09-01,2025-09-01,0.0341,1.2861,28.61
SC,2921.95,13,50.06,2024-09-01,2025-09-01,0.0171,1.4178,41.78
AM,2933.54,13,255.03,2024-09-01,2025-09-01,0.0869,1.4234,42.34
MT,3022.38,13,53.17,2024-09-01,2025-09-01,0.0176,1.4665,46.65
