uf,fator_regional_teorico,nome_uf,regiao,fator_regional_real,valor_medio,num_registros,diferenca_absoluta,diferenca_percentual,discrepancia_significativa,recomendacao
AM,0.842,Amazonas,Norte,1.4234,2933.54,13.0,0.5814,69.05,True,REVISAO_NECESSARIA
MT,0.963,Mato Grosso,Centro-Oeste,1.4665,3022.38,13.0,0.5035,52.28,True,REVISAO_NECESSARIA
SC,1.045,Santa Catarina,Sul,1.4178,2921.95,13.0,0.3728,35.67,True,REVISAO_NECESSARIA
ES,0.949,Espírito Santo,Sudeste,1.2861,2650.57,13.0,0.3371,35.52,True,REVISAO_NECESSARIA
GO,0.958,Goiás,Centro-Oeste,1.2362,2547.64,13.0,0.2782,29.04,True,REVISAO_NECESSARIA
RS,1.05,Rio Grande do Sul,Sul,1.2741,2625.82,13.0,0.2241,21.34,True,REVISAO_NECESSARIA
RO,0.865,Rondônia,Norte,1.0721,2209.45,13.0,0.2071,23.94,True,REVISAO_NECESSARIA
PA,0.841,Pará,Norte,1.045,2153.54,13.0,0.204,24.26,True,REVISAO_NECESSARIA
PR,1.02,Paraná,Sul,1.1981,2469.11,13.0,0.1781,17.46,True,REVISAO_NECESSARIA
RJ,0.965,Rio de Janeiro,Sudeste,1.1249,2318.38,13.0,0.1599,16.57,True,REVISAO_NECESSARIA
MG,0.982,Minas Gerais,Sudeste,1.1223,2312.99,13.0,0.1403,14.29,True,REVISAO_NECESSARIA
MS,0.964,Mato Grosso do Sul,Centro-Oeste,0.8303,1711.12,13.0,-0.1337,-13.87,True,REVISAO_NECESSARIA
PE,0.888,Pernambuco,Nordeste,0.9794,2018.44,13.0,0.0914,10.29,True,REVISAO_NECESSARIA
PB,0.877,Paraíba,Nordeste,0.7884,1624.9,13.0,-0.0886,-10.1,True,REVISAO_NECESSARIA
CE,0.9,Ceará,Nordeste,0.9839,2027.69,13.0,0.0839,9.32,True,REVISAO_NECESSARIA
DF,0.984,Distrito Federal,Centro-Oeste,1.0666,2198.15,13.0,0.0826,8.39,True,REVISAO_NECESSARIA
BA,0.896,Bahia,Nordeste,0.9768,2013.13,13.0,0.0808,9.02,True,REVISAO_NECESSARIA
SE,0.88,Sergipe,Nordeste,0.9428,1942.97,13.0,0.0628,7.14,True,REVISAO_NECESSARIA
MA,0.898,Maranhão,Nordeste,0.8455,1742.55,13.0,-0.0525,-5.85,True,REVISAO_NECESSARIA
AL,0.905,Alagoas,Nordeste,0.9064,1867.95,13.0,0.0014,0.15,False,MANTER_ATUAL
SP,1.0,São Paulo,Sudeste,1.0,2060.89,13.0,0.0,0.0,False,MANTER_ATUAL
AC,0.829,Acre,Norte,,,,,,False,DADOS_INSUFICIENTES
AP,0.859,Amapá,Norte,,,,,,False,DADOS_INSUFICIENTES
PI,0.872,Piauí,Nordeste,,,,,,False,DADOS_INSUFICIENTES
RN,0.888,Rio Grande do Norte,Nordeste,,,,,,False,DADOS_INSUFICIENTES
RR,0.82,Roraima,Norte,,,,,,False,DADOS_INSUFICIENTES
TO,0.86,Tocantins,Norte,,,,,,False,DADOS_INSUFICIENTES
